iter	Passed	Remaining
0	121	121686
1	241	120566
2	366	121810
3	485	120971
4	607	120877
5	724	120102
6	841	119403
7	966	119885
8	1087	119732
9	1211	119891
10	1329	119493
11	1447	119163
12	1568	119070
13	1686	118792
14	1805	118554
15	1918	117989
16	2031	117468
17	2143	116945
18	2256	116494
19	2369	116085
20	2481	115694
21	2594	115355
22	2707	115006
23	2819	114673
24	2933	114396
25	3045	114093
26	3158	113816
27	3271	113563
28	3384	113311
29	3501	113229
30	3614	112987
31	3727	112749
32	3840	112529
33	3952	112311
34	4065	112091
35	4178	111902
36	4291	111692
37	4404	111502
38	4517	111315
39	4629	111116
40	4742	110932
41	4855	110752
42	4968	110572
43	5080	110391
44	5192	110195
45	5306	110048
46	5419	109884
47	5532	109736
48	5645	109560
49	5757	109383
50	5877	109363
51	5998	109366
52	6112	109226
53	6224	109044
54	6337	108891
55	6451	108748
56	6563	108583
57	6677	108448
58	6789	108293
59	6903	108149
60	7017	108022
61	7131	107891
62	7245	107759
63	7357	107607
64	7473	107498
65	7585	107351
66	7699	107217
67	7811	107066
68	7926	106952
69	8041	106831
70	8154	106698
71	8269	106589
72	8382	106448
73	8494	106300
74	8609	106186
75	8722	106042
76	8836	105923
77	8952	105820
78	9065	105691
79	9181	105584
80	9293	105445
81	9408	105328
82	9525	105242
83	9637	105097
84	9756	105027
85	9873	104931
86	9987	104812
87	10102	104698
88	10215	104561
89	10330	104452
90	10445	104343
91	10558	104207
92	10673	104092
93	10786	103961
94	10902	103862
95	11022	103798
96	11145	103755
97	11258	103625
98	11371	103487
99	11485	103366
100	11600	103256
101	11714	103137
102	11833	103056
103	11954	102988
104	12075	102928
105	12197	102875
106	12321	102833
107	12447	102810
108	12571	102765
109	12696	102730
110	12819	102672
111	12941	102610
112	13062	102538
113	13184	102468
114	13307	102407
115	13430	102345
116	13557	102319
117	13680	102257
118	13804	102196
119	13921	102089
120	14037	101975
121	14156	101881
122	14275	101785
123	14394	101692
124	14513	101593
125	14630	101482
126	14749	101386
127	14866	101280
128	14984	101175
129	15101	101066
130	15219	100958
131	15338	100861
132	15455	100749
133	15575	100660
134	15693	100553
135	15816	100481
136	15940	100410
137	16060	100319
138	16176	100203
139	16298	100120
140	16416	100014
141	16536	99917
142	16677	99949
143	16809	99925
144	16927	99811
145	17045	99705
146	17163	99597
147	17284	99500
148	17406	99414
149	17536	99374
150	17660	99295
151	17783	99212
152	17904	99121
153	18028	99040
154	18150	98946
155	18271	98855
156	18394	98769
157	18517	98681
158	18640	98593
159	18761	98499
160	18880	98388
161	18997	98272
162	19117	98166
163	19234	98047
164	19352	97933
165	19470	97821
166	19589	97713
167	19708	97601
168	19828	97500
169	19967	97487
170	20109	97487
171	20234	97407
172	20353	97294
173	20476	97205
174	20598	97107
175	20715	96986
176	20835	96878
177	20953	96761
178	21071	96647
179	21186	96517
180	21305	96404
181	21429	96314
182	21552	96221
183	21679	96141
184	21802	96050
185	21929	95970
186	22053	95877
187	22180	95798
188	22302	95700
189	22428	95615
190	22551	95519
191	22676	95430
192	22797	95324
193	22925	95246
194	23046	95139
195	23174	95061
196	23303	94989
197	23434	94923
198	23565	94856
199	23685	94742
200	23806	94631
201	23927	94526
202	24050	94426
203	24168	94305
204	24288	94192
205	24404	94063
206	24524	93952
207	24641	93825
208	24755	93693
209	24871	93566
210	24994	93461
211	25115	93354
212	25231	93227
213	25348	93100
214	25464	92973
215	25582	92854
216	25698	92726
217	25814	92600
218	25932	92480
219	26051	92365
220	26167	92239
221	26284	92115
222	26410	92021
223	26531	91911
224	26644	91777
225	26760	91647
226	26876	91522
227	26992	91396
228	27109	91271
229	27222	91137
230	27339	91014
231	27459	90898
232	27573	90766
233	27690	90643
234	27805	90516
235	27921	90391
236	28035	90258
237	28151	90133
238	28271	90018
239	28385	89886
240	28504	89771
241	28620	89646
242	28736	89521
243	28850	89390
244	28964	89257
245	29080	89132
246	29198	89014
247	29315	88892
248	29429	88762
249	29547	88641
250	29663	88517
251	29779	88391
252	29893	88263
253	30009	88138
254	30124	88011
255	30244	87898
256	30361	87775
257	30475	87646
258	30592	87523
259	30716	87423
260	30840	87320
261	30954	87193
262	31071	87070
263	31186	86942
264	31304	86826
265	31422	86706
266	31542	86595
267	31662	86480
268	31784	86374
269	31908	86270
270	32028	86156
271	32148	86043
272	32272	85942
273	32394	85833
274	32520	85735
275	32637	85613
276	32756	85498
277	32872	85374
278	32989	85251
279	33105	85127
280	33220	85001
281	33340	84887
282	33457	84766
283	33582	84665
284	33699	84545
285	33815	84421
286	33936	84308
287	34056	84194
288	34173	84073
289	34294	83961
290	34410	83839
291	34527	83716
292	34650	83611
293	34765	83484
294	34881	83361
295	35004	83252
296	35120	83130
297	35243	83022
298	35367	82919
299	35482	82793
300	35599	82671
301	35715	82547
302	35831	82423
303	35949	82305
304	36073	82199
305	36198	82096
306	36314	81974
307	36432	81854
308	36549	81733
309	36671	81622
310	36792	81510
311	36908	81388
312	37025	81266
313	37142	81144
314	37265	81036
315	37381	80914
316	37502	80802
317	37619	80681
318	37743	80574
319	37859	80451
320	37975	80327
321	38091	80205
322	38208	80084
323	38331	79976
324	38448	79855
325	38565	79734
326	38687	79622
327	38807	79507
328	38923	79385
329	39041	79265
330	39157	79143
331	39280	79033
332	39401	78921
333	39519	78801
334	39638	78686
335	39761	78577
336	39878	78454
337	39993	78331
338	40113	78215
339	40247	78127
340	40370	78017
341	40488	77899
342	40607	77780
343	40738	77687
344	40866	77586
345	40991	77481
346	41114	77370
347	41239	77264
348	41365	77159
349	41485	77043
350	41611	76939
351	41737	76834
352	41855	76714
353	41972	76594
354	42094	76480
355	42214	76365
356	42336	76252
357	42452	76129
358	42573	76016
359	42690	75894
360	42804	75767
361	42928	75657
362	43044	75535
363	43166	75422
364	43288	75310
365	43405	75188
366	43532	75084
367	43647	74960
368	43765	74839
369	43887	74727
370	44007	74611
371	44130	74499
372	44248	74380
373	44369	74265
374	44489	74149
375	44611	74036
376	44735	73926
377	44854	73807
378	44970	73685
379	45085	73560
380	45206	73446
381	45330	73336
382	45448	73215
383	45566	73096
384	45692	72989
385	45806	72863
386	45933	72758
387	46055	72644
388	46176	72528
389	46304	72425
390	46445	72340
391	46574	72238
392	46694	72121
393	46812	72000
394	46932	71884
395	47054	71770
396	47175	71654
397	47293	71535
398	47417	71423
399	47535	71303
400	47656	71187
401	47775	71069
402	47897	70954
403	48016	70835
404	48136	70719
405	48254	70598
406	48375	70482
407	48495	70366
408	48615	70249
409	48735	70131
410	48855	70014
411	48971	69891
412	49092	69776
413	49216	69664
414	49341	69554
415	49470	69448
416	49590	69331
417	49718	69225
418	49842	69113
419	49975	69013
420	50107	68913
421	50234	68804
422	50356	68688
423	50476	68571
424	50595	68452
425	50722	68343
426	50843	68228
427	50965	68112
428	51089	68000
429	51208	67880
430	51328	67763
431	51453	67652
432	51575	67536
433	51695	67418
434	51809	67292
435	51926	67171
436	52047	67053
437	52168	66937
438	52289	66820
439	52405	66697
440	52526	66581
441	52650	66467
442	52769	66348
443	52888	66230
444	53008	66111
445	53127	65992
446	53246	65873
447	53368	65757
448	53484	65634
449	53604	65516
450	53725	65399
451	53844	65280
452	53963	65161
453	54083	65043
454	54207	64929
455	54322	64806
456	54444	64689
457	54558	64564
458	54674	64442
459	54796	64326
460	54916	64207
461	55034	64087
462	55156	63971
463	55274	63851
464	55396	63735
465	55518	63620
466	55632	63495
467	55755	63379
468	55875	63261
469	55996	63145
470	56125	63036
471	56251	62925
472	56378	62814
473	56504	62703
474	56632	62594
475	56758	62481
476	56879	62364
477	56997	62243
478	57127	62136
479	57254	62025
480	57370	61902
481	57493	61787
482	57616	61672
483	57736	61553
484	57857	61436
485	57972	61312
486	58095	61196
487	58212	61075
488	58330	60954
489	58446	60831
490	58571	60719
491	58694	60603
492	58811	60481
493	58932	60364
494	59049	60242
495	59171	60125
496	59286	60002
497	59403	59880
498	59525	59764
499	59644	59644
500	59768	59530
501	59893	59415
502	60023	59307
503	60143	59189
504	60276	59082
505	60414	58982
506	60540	58868
507	60674	58763
508	60801	58650
509	60928	58539
510	61052	58423
511	61181	58313
512	61309	58202
513	61439	58092
514	61563	57977
515	61691	57865
516	61809	57745
517	61937	57632
518	62059	57515
519	62179	57396
520	62308	57285
521	62435	57172
522	62560	57057
523	62684	56942
524	62807	56826
525	62932	56711
526	63049	56588
527	63165	56466
528	63285	56346
529	63411	56232
530	63530	56112
531	63649	55992
532	63770	55873
533	63890	55754
534	64010	55635
535	64126	55512
536	64250	55396
537	64366	55274
538	64489	55157
539	64612	55040
540	64728	54917
541	64848	54798
542	64964	54675
543	65081	54553
544	65205	54437
545	65327	54319
546	65443	54197
547	65568	54082
548	65691	53965
549	65815	53849
550	65939	53733
551	66066	53619
552	66190	53503
553	66315	53387
554	66435	53267
555	66553	53146
556	66675	53028
557	66793	52908
558	66914	52789
559	67033	52669
560	67150	52547
561	67271	52428
562	67389	52307
563	67507	52186
564	67622	52063
565	67741	51943
566	67863	51824
567	67989	51710
568	68109	51590
569	68228	51470
570	68351	51353
571	68475	51236
572	68602	51122
573	68722	51002
574	68849	50889
575	68970	50769
576	69095	50654
577	69217	50535
578	69345	50422
579	69465	50302
580	69594	50189
581	69713	50069
582	69830	49947
583	69953	49830
584	70071	49709
585	70192	49590
586	70313	49470
587	70437	49354
588	70556	49233
589	70686	49120
590	70812	49005
591	70930	48884
592	71054	48767
593	71171	48645
594	71294	48528
595	71417	48410
596	71541	48293
597	71661	48173
598	71777	48051
599	71897	47931
600	72014	47810
601	72134	47689
602	72257	47572
603	72384	47457
604	72504	47337
605	72627	47219
606	72745	47098
607	72866	46979
608	72983	46858
609	73102	46737
610	73223	46618
611	73346	46500
612	73469	46382
613	73592	46265
614	73709	46143
615	73825	46021
616	73949	45903
617	74067	45782
618	74185	45661
619	74311	45545
620	74447	45436
621	74585	45326
622	74710	45209
623	74841	45096
624	74961	44977
625	75089	44861
626	75216	44746
627	75338	44627
628	75461	44508
629	75589	44394
630	75708	44273
631	75829	44153
632	75949	44033
633	76068	43913
634	76186	43792
635	76319	43679
636	76455	43568
637	76583	43453
638	76705	43334
639	76820	43211
640	76942	43092
641	77058	42970
642	77182	42852
643	77301	42731
644	77418	42610
645	77541	42491
646	77659	42370
647	77779	42250
648	77894	42127
649	78016	42008
650	78134	41887
651	78260	41770
652	78381	41651
653	78504	41532
654	78626	41414
655	78742	41291
656	78858	41169
657	78979	41050
658	79101	40930
659	79221	40811
660	79343	40691
661	79459	40569
662	79575	40448
663	79698	40329
664	79818	40209
665	79950	40095
666	80084	39982
667	80209	39864
668	80330	39744
669	80458	39628
670	80578	39508
671	80701	39390
672	80825	39271
673	80951	39154
674	81073	39035
675	81203	38919
676	81325	38800
677	81444	38680
678	81577	38566
679	81700	38447
680	81823	38328
681	81938	38205
682	82061	38087
683	82181	37966
684	82305	37848
685	82428	37729
686	82546	37608
687	82662	37486
688	82783	37366
689	82899	37244
690	83018	37123
691	83139	37004
692	83263	36885
693	83385	36766
694	83509	36648
695	83638	36531
696	83758	36411
697	83877	36290
698	84000	36171
699	84115	36049
700	84238	35930
701	84355	35808
702	84477	35689
703	84594	35567
704	84712	35446
705	84834	35327
706	84960	35209
707	85082	35090
708	85204	34970
709	85324	34850
710	85451	34733
711	85572	34613
712	85695	34494
713	85818	34375
714	85940	34255
715	86062	34136
716	86189	34018
717	86309	33898
718	86430	33778
719	86551	33658
720	86677	33540
721	86804	33423
722	86931	33305
723	87059	33188
724	87181	33069
725	87309	32951
726	87432	32832
727	87555	32712
728	87680	32594
729	87795	32472
730	87917	32352
731	88033	32230
732	88156	32111
733	88280	31992
734	88404	31873
735	88527	31754
736	88650	31635
737	88769	31514
738	88892	31394
739	89012	31274
740	89132	31154
741	89254	31034
742	89371	30913
743	89486	30791
744	89606	30670
745	89730	30551
746	89849	30430
747	89972	30311
748	90094	30191
749	90217	30072
750	90338	29952
751	90458	29832
752	90582	29713
753	90703	29592
754	90826	29473
755	90951	29354
756	91074	29235
757	91190	29113
758	91310	28993
759	91430	28872
760	91553	28753
761	91674	28633
762	91800	28514
763	91918	28393
764	92038	28273
765	92166	28155
766	92294	28037
767	92425	27920
768	92550	27801
769	92672	27681
770	92798	27562
771	92923	27443
772	93050	27325
